Issue_Key,Issue_Type,Reporter,Summary,Category,Problem_Category,Impact,Urgency,Priority,Close_Code,Status,Assigned_To,Parent_Incident,Description_(Workaround),Date_Created,Resolution_time_(in sec),Date_Resolved,Resolution
INC-0104431,[System] Incident,IA SRS Integration,IALPMSPLSQL02\EBI_PP:ERRORLOG: 2019-03-06 21:07:04.15 spid62      ***Stack Dump being sent to D:\Program Files\Microsoft SQL Server\MSSQL12.EBI_PP\MSSQL\LOG\SQL,Hardware,Process Failure,Minor / Localized,Low,Low,Solved (Work Around),Closed,Unassigned,No Parent Incident,Check server and look for certain errors in error logs. Code fix. Optimize queries. Monitor server performance and update server if necessary,2021-03-06 21:21,1004146,2021-03-18 12:16,Done
INC-0104432,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Job, Job id = C9AB6C46-CA85-414F-90AE-E87C099BB4DB, run date = 20190306, runtime = 201000 for IALPMSELSPS01> [Polic",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Work Around),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-06 21:29,1003716,2021-03-18 12:17,Done
INC-0104460,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Log_FIle, Job id = 9D5A253F-AAF2-4FB0-9EE1-347FB9C17A56, run date = 20190306, runtime = 231600 for IALPMSPLREC01> [",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Work Around),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-07 04:51,977258,2021-03-18 12:18,Done
INC-0104642,[System] Incident,IA SRS Integration,THIS IS FOR TESTING. NO ACTION REQUIRED,Hardware,Test Alert,Minor / Localized,Low,Low,Closed/Resolved by Caller,Closed,Unassigned,No Parent Incident,No action required. Ticket Invalid,2021-03-07 12:23,5204,2021-03-07 13:49,Done
INC-0104786,[System] Incident,IA SRS Integration,FREE DISKSPACE ON P:\ IALPNAS05-DISK LOWER THAN THRESHOLD 20.0% (1023.975GB).,Hardware,Insufficient Disk Space,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-03-07 17:42,423376,2021-03-12 15:18,Done
INC-0104793,[System] Incident,IA SRS Integration,ALERT40-19: Error opening cursor metric3240_90 [System.Data.SqlClient.SqlException: Timeout expired.  The timeout period elapsed prior to completion of the oper,Hardware,Session Timeout,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,"Check database status and look for specific errors. If none, further monitor and restart database.",2021-03-07 19:04,419019,2021-03-12 15:27,Done
INC-0104811,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Job, Job id = C9AB6C46-CA85-414F-90AE-E87C099BB4DB, run date = 20190307, runtime = 201000 for IALPMSELSPS01> [Polic",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-07 21:58,127,2021-03-07 22:00,Done
INC-0104819,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Log_FIle, Job id = 9D5A253F-AAF2-4FB0-9EE1-347FB9C17A56, run date = 20190307, runtime = 231600 for IALPMSPLREC01> [",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-08 00:10,4262,2021-03-08 01:21,Done
INC-0105085,[System] Incident,IA SRS Integration,ALERT-3233: Database TAP_CLOE has not been backed up for 876000.00 hours >=168 hours for IALDMSPLSQL05\BIDWSQL2014. [Policy: ALERTMON-ALERT-3233-ARM],Hardware,Backup Missing,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Run database backup job or script,2021-03-08 15:12,321646,2021-03-12 08:32,Done
INC-0105183,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Log_FIle, Job id = 9D5A253F-AAF2-4FB0-9EE1-347FB9C17A56, run date = 20190308, runtime = 231600 for IALPMSPLREC01> [",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-08 23:19,4595,2021-03-09 00:35,Done
INC-0105219,[System] Incident,IA SRS Integration,ALERT11-03: Unable to connect to one or more databases (IALDMSPLVMSQL08) configured in file local.cfg located in ALERT directory.,Hardware,Connection Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart monitoring tool,2021-03-09 15:08,260615,2021-03-12 15:31,Done
INC-0105237,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Job, Job id = C9AB6C46-CA85-414F-90AE-E87C099BB4DB, run date = 20190309, runtime = 201000 for IALPMSELSPS01> [Polic",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-09 20:32,241697,2021-03-12 15:40,Done
INC-0105247,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Log_FIle, Job id = 9D5A253F-AAF2-4FB0-9EE1-347FB9C17A56, run date = 20190309, runtime = 231600 for IALPMSPLREC01> [",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-09 23:51,4464,2021-03-10 01:05,Done
INC-0105309,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'D:' Data LOWER THAN THRESHOLD 10.0% (30719.70 MB),Hardware,Insufficient Disk Space,Significant / Large,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-03-10 06:07,13423,2021-03-10 09:50,Done
INC-0105426,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Log_FIle, Job id = 9D5A253F-AAF2-4FB0-9EE1-347FB9C17A56, run date = 20190310, runtime = 231600 for IALPMSPLREC01> [",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-10 23:42,4154,2021-03-11 00:51,Done
INC-0105442,[System] Incident,IA SRS Integration,"spid28s     Error: 33206, Severity: 17, State: 1.   SQL Server Audit failed to create the audit file 'L:\Program Files\Microsoft SQL Server\MSSQL12.BIDWSQL2014\",Hardware,Audit Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart database,2021-03-11 06:08,120867,2021-03-12 15:42,Done
INC-0105687,[System] Incident,IA SRS Integration,ALERT11-03: Unable to connect to one or more databases (IAFDMSPDSQ05) configured in file local.cfg located in ALERT directory.,Hardware,Connection Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart monitoring tool,2021-03-11 17:45,79341,2021-03-12 15:47,Done
INC-0105692,[System] Incident,IA SRS Integration,FREE DISKSPACE ON N:\ LOGS LOWER THAN THRESHOLD 5.0% (15.000GB).,Hardware,Insufficient Disk Space,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-03-11 18:51,75818,2021-03-12 15:54,Done
INC-0105698,[System] Incident,IA SRS Integration,ALERT11-03: Unable to connect to one or more databases (IAFDMSPDSQ02) configured in file local.cfg located in ALERT directory.,Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart monitoring tool,2021-03-11 20:28,70262,2021-03-12 15:59,Done
INC-0105700,[System] Incident,IA SRS Integration,ALERT-3030: Cannot connect to MS SQL Server IAFDMSPDSQ08. [Policy: ALERTMON-ALERT-3030-ARM],Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart database,2021-03-11 21:28,66872,2021-03-12 16:02,Done
INC-0105701,[System] Incident,IA SRS Integration,ALERT-3230: Cannot connect to database EDDH for IALPMSVSSQL01\EBI. [Policy: ALERTMON-ALERT-3230-ARM],Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart database,2021-03-11 21:48,65800,2021-03-12 16:04,Done
INC-0105702,[System] Incident,IA SRS Integration,ALERT11-03: Unable to connect to one or more databases (IAFDMSPDSQ08) configured in file local.cfg located in ALERT directory.,Hardware,Connection Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart monitoring tool,2021-03-11 22:39,62815,2021-03-12 16:05,Done
INC-0105719,[System] Incident,IA SRS Integration,ALERT-3030: Cannot connect to MS SQL Server IAFDMSPDSQ05. [Policy: ALERTMON-ALERT-3030-ARM],Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart database,2021-03-12 00:54,54933,2021-03-12 16:09,Done
INC-0105950,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'Z:' Backup LOWER THAN THRESHOLD 5.0% (13055.85 MB),Hardware,Insufficient Disk Space,Significant / Large,Medium,High,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-03-12 10:09,185,2021-03-12 10:12,Done
INC-0106145,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'Z:' Backup LOWER THAN THRESHOLD 5.0% (13055.85 MB),Hardware,Insufficient Disk Space,Significant / Large,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-03-12 14:14,4904,2021-03-12 15:35,Done
INC-0106188,[System] Incident,IA SRS Integration,ALERT-3030: Cannot connect to MS SQL Server IAFTMSPDSQ04. [Policy: ALERTMON-ALERT-3030-ARM],Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart database,2021-03-12 15:21,3065,2021-03-12 16:12,Done
INC-0106232,[System] Incident,IA SRS Integration,ALERT11-03: Unable to connect to one or more databases (IAFDMSPDSQ08) configured in file local.cfg located in ALERT directory.,Hardware,Connection Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart monitoring tool,2021-03-12 16:25,59559,2021-03-13 08:57,Done
INC-0106234,[System] Incident,IA SRS Integration,ALERT11-03: Unable to connect to one or more databases (IAFTMSPDSQ04) configured in file local.cfg located in ALERT directory.,Hardware,Connection Failure,Minor / Localized,Low,Low,Solved (Work Around),Closed,Unassigned,No Parent Incident,Restart monitoring tool,2021-03-12 16:26,503707,2021-03-18 12:21,Done
INC-0106270,[System] Incident,IA SRS Integration,ALERT-3030: Cannot connect to MS SQL Server IAFDMSPDSQ08. [Policy: ALERTMON-ALERT-3030-ARM],Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart database,2021-03-12 17:34,55345,2021-03-13 08:56,Done
INC-0106286,[System] Incident,IA SRS Integration,"spid29s     Error: 33206, Severity: 17, State: 1.   SQL Server Audit failed to create the audit file 'L:\Program Files\Microsoft SQL Server\MSSQL12.BIDWSQL2014\",Hardware,Audit Failure,Moderate / Limited,Low,Medium,Solved (Work Around),Closed,Unassigned,No Parent Incident,Check directory rights,2021-03-12 18:59,494606,2021-03-18 12:22,Done
INC-0106675,[System] Incident,IA SRS Integration,ALERT-3233: Database EDS has not been backed up for 876000.00 hours >=168 hours for IALDMSPLSQL05\BIDWSQL2014. [Policy: ALERTMON-ALERT-3233-ARM],Hardware,Backup Missing,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Run database backup job or script,2021-03-14 00:17,29572,2021-03-14 08:29,Done
INC-0106707,[System] Incident,IA SRS Integration,ALERT11-03: Unable to connect to one or more databases (IALDMSPLVMSQL08) configured in file local.cfg located in ALERT directory.,Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart monitoring tool,2021-03-14 07:18,4926,2021-03-14 08:40,Done
INC-0106760,[System] Incident,IA SRS Integration,ALERT-3030: Cannot connect to MS SQL Server IAFTMSPDSQ04. [Policy: ALERTMON-ALERT-3030-ARM],Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Work Around),Closed,Unassigned,No Parent Incident,Restart database,2021-03-14 08:53,358208,2021-03-18 12:23,Done
INC-0106968,[System] Incident,IA SRS Integration,ALERT-3233: Database zGIDW has not been backed up for 876000.00 hours >=168 hours for IALDMSPLSQL05\BIDWSQL2014. [Policy: ALERTMON-ALERT-3233-ARM],Hardware,Backup Missing,Moderate / Limited,Low,Medium,Solved (Work Around),Closed,Unassigned,No Parent Incident,Run database backup job or script,2021-03-14 12:25,345518,2021-03-18 12:23,Done
INC-0107035,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'D:' Data LOWER THAN THRESHOLD 10.0% (7853.70 MB),Hardware,Insufficient Disk Space,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-03-14 14:19,4580,2021-03-14 15:35,Done
INC-0107157,[System] Incident,IA SRS Integration,IALPMSPLSQL02\EBI_PP:ERRORLOG: 2019-03-14 18:37:26.31 spid84      ***Stack Dump being sent to D:\Program Files\Microsoft SQL Server\MSSQL12.EBI_PP\MSSQL\LOG\SQL,Hardware,Process Failure,Minor / Localized,Low,Low,Solved (Work Around),Closed,Unassigned,No Parent Incident,Check server and look for certain errors in error logs. Code fix. Optimize queries. Monitor server performance and update server if necessary,2021-03-14 18:43,322853,2021-03-18 12:23,Done
INC-0107175,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Job, Job id = C9AB6C46-CA85-414F-90AE-E87C099BB4DB, run date = 20190314, runtime = 205400 for IALPMSELSPS01> [Polic",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-14 20:59,4019,2021-03-14 22:05,Done
INC-0107185,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Log_FIle, Job id = 9D5A253F-AAF2-4FB0-9EE1-347FB9C17A56, run date = 20190314, runtime = 231600 for IALPMSPLREC01> [",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-14 23:29,4009,2021-03-15 00:35,Done
INC-0107543,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'D:' SQL Apps LOWER THAN THRESHOLD 10.0% (4083.00 MB),Hardware,Insufficient Disk Space,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-03-15 16:10,366,2021-03-15 16:16,Done
INC-0107577,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Job, Job id = C9AB6C46-CA85-414F-90AE-E87C099BB4DB, run date = 20190315, runtime = 205400 for IALPMSELSPS01> [Polic",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-15 21:09,4279,2021-03-15 22:20,Done
INC-0107588,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Log_FIle, Job id = 9D5A253F-AAF2-4FB0-9EE1-347FB9C17A56, run date = 20190315, runtime = 231600 for IALPMSPLREC01> [",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-15 23:19,4618,2021-03-16 00:35,Done
INC-0107599,[System] Incident,IA SRS Integration,"spid32s     Error: 33206, Severity: 17, State: 1.   SQL Server Audit failed to create the audit file 'L:\Program Files\Microsoft SQL Server\MSSQL12.BIDWSQL2014\",Hardware,Audit Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Check directory rights,2021-03-16 02:52,467201,2021-03-21 12:38,Done
INC-0107684,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Log_FIle, Job id = 9D5A253F-AAF2-4FB0-9EE1-347FB9C17A56, run date = 20190316, runtime = 231600 for IALPMSPLREC01> [",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-16 23:23,4323,2021-03-17 00:35,Done
INC-0107690,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = SharePoint.Backup_-_TL, Job id = 40809AA5-E273-4B26-8523-B71996F4E417, run date = 20190317, runtime = 1500 for IALPMSELSPS",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-17 00:39,128,2021-03-17 00:41,Done
INC-0107691,[System] Incident,IA SRS Integration,ALERT11-03: Unable to connect to one or more databases (IALDMSPLVMSQL08\IABIZTALK) configured in file local.cfg located in ALERT directory.,Hardware,Connection Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart monitoring tool,2021-03-17 00:55,288128,2021-03-20 08:57,Done
INC-0107700,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'D:' Data LOWER THAN THRESHOLD 10.0% (30719.70 MB),Hardware,Insufficient Disk Space,Significant / Large,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-03-17 03:53,22360,2021-03-17 10:05,Done
INC-0107759,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Job, Job id = C9AB6C46-CA85-414F-90AE-E87C099BB4DB, run date = 20190317, runtime = 201000 for IALPMSELSPS01> [Polic",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-17 20:14,8505,2021-03-17 22:35,Done
INC-0107769,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Log_FIle, Job id = 9D5A253F-AAF2-4FB0-9EE1-347FB9C17A56, run date = 20190317, runtime = 231600 for IALPMSPLREC01> [",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-17 23:32,4730,2021-03-18 00:50,Done
INC-0107790,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Database_Mirroring_Monitor_Job, Job id = 9FFC3C3E-F44B-421E-82AD-FCF65C0AFA88, run date = 20190318, runtime = 72500 for IA",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-18 07:27,154,2021-03-18 07:29,Done
INC-0108081,[System] Incident,IA SRS Integration,ALERT-3233: Database RegRpt_BK20190318 has not been backed up for 876000.00 hours >=168 hours for IALDMSPLSQL05\BIDWSQL2014. [Policy: ALERTMON-ALERT-3233-ARM],Hardware,Backup Missing,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Run database backup job or script,2021-03-18 11:40,99817,2021-03-19 15:23,Done
INC-0108125,[System] Incident,IA SRS Integration,ALERT11-03: Unable to connect to one or more databases (IAFTMSPDSQ04) configured in file local.cfg located in ALERT directory.,Hardware,Connection Failure,Minor / Localized,Low,Low,Solved (Work Around),Closed,Unassigned,No Parent Incident,Restart monitoring tool,2021-03-18 12:45,259466,2021-03-21 12:49,Done
INC-0108128,[System] Incident,IA SRS Integration,"spid20s     Error: 33206, Severity: 17, State: 1.   SQL Server Audit failed to create the audit file 'L:\Program Files\Microsoft SQL Server\MSSQL12.BIDWSQL2014\",Hardware,Audit Failure,Moderate / Limited,Low,Medium,Solved (Work Around),Closed,Unassigned,No Parent Incident,Check directory rights,2021-03-18 13:00,257907,2021-03-21 12:38,Done
INC-0108172,[System] Incident,IA SRS Integration,ALERT-3030: Cannot connect to MS SQL Server IAFTMSPDSQ04. [Policy: ALERTMON-ALERT-3030-ARM],Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart database,2021-03-18 13:52,155630,2021-03-20 09:05,Done
INC-0108311,[System] Incident,IA SRS Integration,IALPMSPLSQL02\EBI_PP:ERRORLOG: 2019-03-18 18:13:55.67 spid51      ***Stack Dump being sent to D:\Program Files\Microsoft SQL Server\MSSQL12.EBI_PP\MSSQL\LOG\SQL,Hardware,Process Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Check server and look for certain errors in error logs. Code fix. Optimize queries. Monitor server performance and update server if necessary,2021-03-18 18:21,77980,2021-03-19 16:00,Done
INC-0108313,[System] Incident,IA SRS Integration,ALERT40-19: Error opening cursor metric3240_90 [System.Data.SqlClient.SqlException: Timeout expired.  The timeout period elapsed prior to completion of the oper,Hardware,Session Timeout,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,"Check database status and look for specific errors. If none, further monitor and restart database.",2021-03-18 18:48,237192,2021-03-21 12:41,Done
INC-0108322,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Database_Mirroring_Monitor_Job, Job id = 9FFC3C3E-F44B-421E-82AD-FCF65C0AFA88, run date = 20190318, runtime = 205500 for B",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-18 21:00,154,2021-03-18 21:02,Done
INC-0108333,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = LcsCDR_Purge, Job id = E32BDE92-AC92-4D8A-8CB2-662B7F998271, run date = 20190318, runtime = 230000 for IALPMSPLSQL17> [Pol",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-18 23:12,4127,2021-03-19 00:20,Done
INC-0108334,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Log_FIle, Job id = 9D5A253F-AAF2-4FB0-9EE1-347FB9C17A56, run date = 20190318, runtime = 231600 for IALPMSPLREC01> [",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-18 23:28,4040,2021-03-19 00:35,Done
INC-0108335,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'L:' LOGS LOWER THAN THRESHOLD 10.0% (25599.69 MB),Hardware,Insufficient Disk Space,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-03-18 23:34,56815,2021-03-19 15:20,Done
INC-0108342,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Job, Job id = C9AB6C46-CA85-414F-90AE-E87C099BB4DB, run date = 20190319, runtime = 2200 for IALPMSELSPS01> [Policy:",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-03-19 00:29,4001,2021-03-19 01:35,Done
INC-0108364,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'D:' SQL Apps LOWER THAN THRESHOLD 10.0% (4083.00 MB),Hardware,Insufficient Disk Space,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-03-19 05:30,37269,2021-03-19 15:51,Done
INC-0108367,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'Z:' Backup LOWER THAN THRESHOLD 5.0% (13055.85 MB),Hardware,Insufficient Disk Space,Significant / Large,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-03-19 06:18,186,2021-03-19 06:21,Done
INC-0108369,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'Z:' Backup LOWER THAN THRESHOLD 5.0% (13055.85 MB),Hardware,Insufficient Disk Space,Significant / Large,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-03-19 07:02,4690,2021-03-19 08:20,Done
INC-0108571,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'Z:' Backup LOWER THAN THRESHOLD 5.0% (13055.85 MB),Hardware,Insufficient Disk Space,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-03-19 12:06,12135,2021-03-19 15:28,Done
